Id,BestelDatum,Klantnaam,Familinaam,Email,Bedrijfnaam,BtwNummer,Status
1,2017-07-16 01:46:42,Phyllida,Vidgen,ctarplee0@fda.gov,,,Betaald
2,2010-12-23 23:32:39,Neron,Sallings,dchellenham1@cbslocal.com,,,Betaald
3,2013-09-19 09:59:16,,,,Dabfeed,0970111959,Betaald
4,2021-09-19 15:25:34,Dulcinea,Pautard,mlinch3@amazon.com,,,Betaald
5,2017-06-26 20:28:55,Brooks,Haverson,gmclaughlin4@acquirethisname.com,,,Betaald
6,2011-01-25 09:37:44,Ruperta,Dudleston,lhelmke5@dailymotion.com,,,Geleverd
7,2011-09-01 21:15:44,Alair,Tungate,adomleo6@redcross.org,,,Betaald
8,2023-10-01 13:40:23,Larine,Feaviour,rpettigree7@redcross.org,,,Betaald
9,2014-12-27 21:47:44,,,,Innojam,0529353962,Betaald
10,2022-10-24 22:59:30,Ford,de Copeman,eliccardi9@moonfruit.com,,,RetourInStock
11,2018-08-25 05:24:43,Dilan,Ather,bcapnerhursta@flickr.com,,,Betaald
12,2011-12-22 13:12:52,,,,Oyonder,5156618960,Onderweg
13,2014-08-22 03:41:59,Georgianna,Leighfield,lbaynomc@google.nl,,,Lopend
14,2020-07-25 04:36:30,,,,Vinder,6986197888,Betaald
15,2019-03-04 05:35:39,Ernestine,Gariff,fshorthousee@ox.ac.uk,,,Betaald
16,2016-09-23 11:48:41,Connor,Pedwell,dedneyf@archive.org,,,RetourInStock
17,2021-08-23 09:20:48,Valentine,MacPharlain,dmeenehang@vimeo.com,,,Betaald
18,2022-03-22 21:09:54,,,,Kare,3565708166,RetourInStock
19,2010-10-29 18:02:45,,,,Myworks,9965484422,Retour
20,2010-10-11 12:25:25,,,,Kazu,9255355902,Betaald
21,2014-12-30 05:22:49,Lorelei,Klima,avallancek@lulu.com,,,Betaald
22,2020-02-27 00:33:57,Darin,Pauls,rwaplel@123-reg.co.uk,,,Lopend
23,2015-06-22 14:36:27,,,,Eabox,5735443437,Lopend
24,2012-04-05 21:11:36,,,,Digitube,6593736686,Betaald
25,2022-10-05 01:45:38,,,,Babbleset,9685519234,Retour
26,2020-03-25 10:13:36,,,,Zoonder,2387997840,Betaald
27,2016-09-04 06:32:03,Vaughn,Alderwick,kmeadsq@blogtalkradio.com,,,Betaald
28,2021-12-03 18:16:23,Sebastian,Issacof,ndunridger@dropbox.com,,,Retour
29,2012-12-14 16:39:15,Florance,Noah,tpolles@bigcartel.com,,,Beschadigd
